time,side,ticker_id,mv_dn_composite_labels,price_to_sales_zscore_universe_df070,joint_fall_flag_1_20_df042,joint_fall_flag_5_5_df042,dist_upper_bb_20_2.0_df055
2006-01-11 00:00:00+00,SHORT,687,0.2779313046765221,-0.0831,0.0,0.0,3.9798458E-4
2006-01-11 00:00:00+00,SHORT,2993,0.6714105214134006,-0.0886,0.0,0.0,0.005240008
2006-01-11 00:00:00+00,SHORT,1090,1.0,-0.0895,0.0,0.0,0.024925025
2006-01-11 00:00:00+00,SHORT,1303,0.6987280047145138,-0.0924,0.0,0.0,-0.003648015
2006-01-11 00:00:00+00,SHORT,1377,0.507589722941336,-0.0944,0.0,0.0,0.011293995
2006-01-11 00:00:00+00,SHORT,3824,0.474062314741694,-0.0939,0.0,0.0,-0.010537258
2006-01-11 00:00:00+00,SHORT,3841,0.2789565676049628,-0.0926,0.0,0.0,-0.010979186
2006-01-12 00:00:00+00,SHORT,9,0.45895979223514144,-0.0853,0.0,0.0,-0.01281898
2006-01-12 00:00:00+00,SHORT,2230,0.29807525521454054,-0.0893,0.0,0.0,-0.010446763
2006-01-12 00:00:00+00,SHORT,1090,0.6323598841687552,-0.0905,0.0,0.0,-0.008161848
2006-01-13 00:00:00+00,SHORT,2349,0.40643544581678465,-0.0883,0.0,0.0,0.005381553
2006-01-13 00:00:00+00,SHORT,1668,0.19330289005478973,-0.082,0.0,0.0,-0.0077461544
2006-01-19 00:00:00+00,SHORT,427,1.0,-0.085,0.0,0.0,-8.3696994E-4
2006-01-20 00:00:00+00,SHORT,93,0.39185967081533796,-0.0882,0.0,0.0,0.0020756887
2006-01-23 00:00:00+00,SHORT,93,0.1915234233782271,-0.0891,0.0,0.0,-0.0073876837
2006-01-25 00:00:00+00,SHORT,2761,0.042119760462310744,-0.0896,0.0,0.0,-0.005447884
