time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.5_df055,ma_cloud_diff_21_50_df007
2005-11-16 00:00:00+00,LONG,664,1.0,-0.024792913,5.1736186E-4
2005-11-16 00:00:00+00,LONG,708,0.5324931840386238,-0.024112532,-0.011694121
2005-11-17 00:00:00+00,LONG,2499,0.0,-0.025879424,0.011972719
2005-11-21 00:00:00+00,LONG,2499,0.21761694054604835,-0.025500111,0.010816234
2005-11-21 00:00:00+00,LONG,3473,0.15588168268107416,-0.02598393,0.011017919
2005-11-22 00:00:00+00,LONG,664,0.9047619047619048,-0.025318302,-0.010732002
2005-11-22 00:00:00+00,LONG,1306,0.21963564165060973,-0.025723878,0.0034773746
2005-11-25 00:00:00+00,LONG,3473,0.16851907034407784,-0.025729042,0.0052102436
2005-11-28 00:00:00+00,LONG,3352,0.9423076923076923,-0.025617892,-0.014427592
2005-11-29 00:00:00+00,LONG,4062,0.9583333333333334,-0.02422524,0.010404991
2005-12-02 00:00:00+00,LONG,28,0.4880666271135251,-0.024341809,-0.030430403
2005-12-05 00:00:00+00,LONG,2930,0.22225981534796835,-0.025321765,-0.0065259435
2005-12-07 00:00:00+00,LONG,2499,0.0,-0.025456777,-0.0014319633
2005-12-08 00:00:00+00,LONG,2499,0.0,-0.024801627,-0.0027141522
2005-12-08 00:00:00+00,LONG,2930,0.18047686600304944,-0.025446545,-0.0025781957
2005-12-27 00:00:00+00,LONG,937,0.422669673629904,-0.025076129,0.0061557572
2005-12-29 00:00:00+00,LONG,576,0.92,-0.024509255,0.0019660112
2005-12-29 00:00:00+00,LONG,1377,0.0,-0.026141552,-0.010932534
2005-12-29 00:00:00+00,LONG,1447,0.003109164963776057,-0.025051208,-0.013195236
2005-12-30 00:00:00+00,LONG,2084,0.059199480596752646,-0.025625573,-0.014740947
2005-12-30 00:00:00+00,LONG,576,1.0,-0.026101014,0.0011388754
2005-12-30 00:00:00+00,LONG,2751,0.5607711002689579,-0.025444426,-0.012698312
2005-12-30 00:00:00+00,LONG,2898,0.777620492907893,-0.0252533,-0.008036375
2006-01-05 00:00:00+00,LONG,3791,0.9347826086956522,-0.024588414,-4.3523175E-4
2006-01-17 00:00:00+00,LONG,1076,0.9830508474576272,-0.024281086,1.07648164E-4
2006-01-20 00:00:00+00,LONG,1144,0.09704769290201387,-0.0245342,-0.003335727
2006-01-23 00:00:00+00,LONG,2327,0.11048100040965107,-0.024127228,0.004118217
2006-01-25 00:00:00+00,LONG,4032,0.38253359386734254,-0.025134278,-0.027702043
2006-01-25 00:00:00+00,LONG,4073,0.0,-0.026138615,-0.035332024
2006-01-26 00:00:00+00,LONG,516,0.9130434782608696,-0.024377465,4.0460457E-4
2006-01-27 00:00:00+00,LONG,2367,0.0,-0.025306053,0.003224917
2006-01-27 00:00:00+00,LONG,617,0.8181818181818181,-0.024562225,7.402473E-5
2006-01-27 00:00:00+00,LONG,3923,0.16586958401821494,-0.024950515,-0.007860486
2006-01-30 00:00:00+00,LONG,516,0.8695652173913043,-0.024680508,1.2498438E-4
2006-01-31 00:00:00+00,LONG,2196,1.0,-0.023910658,-0.006961878
2006-02-01 00:00:00+00,LONG,2327,0.12286070387571664,-0.024013102,0.0014470961
2006-02-01 00:00:00+00,LONG,1434,0.19914260182263407,-0.025068983,-0.0032256737
2006-02-02 00:00:00+00,LONG,2659,0.1516841440765968,-0.025194883,-0.016726987
2006-02-03 00:00:00+00,LONG,1258,0.3545246558796195,-0.025110217,-0.028048329
2006-02-03 00:00:00+00,LONG,1434,0.19937983236120402,-0.026140524,-0.0050596837
2006-02-06 00:00:00+00,LONG,1715,0.7441860465116279,-0.024999341,0.005043561
2006-02-07 00:00:00+00,LONG,1333,0.0,-0.024446972,7.777967E-4
2006-02-08 00:00:00+00,LONG,2365,0.50114775856037,-0.025339179,0.0040516593
2006-02-08 00:00:00+00,LONG,2557,0.28345152506936866,-0.023998931,4.2412698E-4
2006-02-08 00:00:00+00,LONG,730,0.15438797327398607,-0.025136687,-0.015181529
2006-02-09 00:00:00+00,LONG,2367,0.0,-0.025466735,-0.0073714713
2006-02-10 00:00:00+00,LONG,167,1.0,-0.0251738,0.0038787194
2006-02-10 00:00:00+00,LONG,1333,0.0,-0.025561286,8.77588E-4
2006-02-14 00:00:00+00,LONG,2761,0.37183319795547454,-0.02539349,-0.003715951
2006-02-15 00:00:00+00,LONG,808,0.7192982456140351,-0.023959942,-0.00761859
2006-02-15 00:00:00+00,LONG,907,0.9,-0.024631912,-0.006119772
2006-02-15 00:00:00+00,LONG,1306,0.0,-0.02591965,-0.011282149
2006-02-21 00:00:00+00,LONG,975,0.6923076923076923,-0.024733758,-0.0074310564
2006-02-22 00:00:00+00,LONG,73,0.1757760250155465,-0.026215225,-0.017161869
2006-02-22 00:00:00+00,LONG,808,0.6491228070175439,-0.025882412,-0.0055608405
2006-02-23 00:00:00+00,LONG,799,0.2899039687125004,-0.025244633,-0.007916192
2006-02-24 00:00:00+00,LONG,2262,0.18778349868416214,-0.025455931,-0.011692167
2006-02-24 00:00:00+00,LONG,1715,0.4418604651162791,-0.02393509,-6.4321904E-4
2006-02-27 00:00:00+00,LONG,799,0.2659643694110527,-0.025691252,-0.0076007987
2006-02-27 00:00:00+00,LONG,1715,0.41860465116279066,-0.025634607,-4.573662E-4
2006-02-27 00:00:00+00,LONG,1896,0.0,-0.026218817,-0.01446647
2006-03-02 00:00:00+00,LONG,3203,0.4296766880063366,-0.02569414,-0.010349816
2006-03-03 00:00:00+00,LONG,1988,1.0,-0.025364064,-0.023628268
2006-03-07 00:00:00+00,LONG,808,0.49122807017543857,-0.024214722,-0.0048368876
2006-03-07 00:00:00+00,LONG,3273,0.44686511268763507,-0.02414786,-0.015398371
2006-03-07 00:00:00+00,LONG,3521,0.7627007604274467,-0.024126275,-0.02932792
2006-03-07 00:00:00+00,LONG,3645,0.3737760334283178,-0.025213853,-0.01615106
2006-03-08 00:00:00+00,LONG,2912,0.36596115261833856,-0.024204785,-0.026520194
2006-03-08 00:00:00+00,LONG,1377,0.0,-0.024669545,-0.016650042
2006-03-08 00:00:00+00,LONG,1949,1.0,-0.024039429,-0.02986278
2006-03-09 00:00:00+00,LONG,4128,0.12293580252526268,-0.025612278,-0.004398566
2006-03-10 00:00:00+00,LONG,4128,0.19136448509447612,-0.025700497,-0.0034276012
2006-03-10 00:00:00+00,LONG,2912,0.35979651788242234,-0.025505735,-0.029297471
2006-03-13 00:00:00+00,LONG,2619,0.20515144081334535,-0.024550123,-0.04761905
2006-03-14 00:00:00+00,LONG,4128,0.11964377695396566,-0.025200438,-0.0021272965
2006-03-14 00:00:00+00,LONG,3973,0.8648648648648649,-0.024132056,-0.00815297
2006-03-20 00:00:00+00,LONG,3699,0.0,-0.024806658,-0.01962299
