time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_20_2.5_df055,price_drift_21_df005,accel_price_1_df021,price_eps_diff_pct_df082
2007-01-09 00:00:00+00,LONG,4062,0.9705882352941176,0.13651267,-0.0527179,-0.13651267,-0.011169285,10.81
2007-01-10 00:00:00+00,LONG,2816,0.4509777732037064,0.14857271,-0.12434058,-0.14857271,0.011801611,25.8
2007-01-10 00:00:00+00,LONG,3283,0.8181818181818181,0.14577922,-0.09444355,-0.14577922,-0.024545442,32.97
2007-01-10 00:00:00+00,LONG,1298,1.0,0.1380814,-0.024026725,-0.1380814,0.008354503,-56.24
2007-01-10 00:00:00+00,LONG,1404,0.6086612087319042,0.14098836,-0.1278272,-0.14098836,0.031554054,-40.51
2007-01-10 00:00:00+00,LONG,3466,1.0,0.1453619,-0.04158372,-0.1453619,-0.011753343,-18.16
2007-01-10 00:00:00+00,LONG,1740,0.902136824047082,0.13825585,-0.039887298,-0.13825585,-0.0035582776,-43.16
2007-01-10 00:00:00+00,LONG,1908,0.9444444444444444,0.13333334,-0.014331381,-0.13333334,-0.00862069,-23.07
2007-01-10 00:00:00+00,LONG,4062,0.9411764705882353,0.13301663,-0.06436215,-0.13301663,0.007939247,11.21
2007-01-11 00:00:00+00,LONG,2816,0.8717948717948718,0.1699146,-0.12266815,-0.1699146,-0.0010593875,25.33
2007-01-11 00:00:00+00,LONG,870,0.8893062358324781,0.16948329,-0.0479202,-0.16948329,0.007888203,33.76
2007-01-11 00:00:00+00,LONG,874,0.8181818181818181,0.1746747,-0.14896873,-0.1746747,0.014074088,33.36
2007-01-11 00:00:00+00,LONG,3466,0.962962962962963,0.15033072,-0.05324829,-0.15033072,0.010992035,-19.26
2007-01-11 00:00:00+00,LONG,1740,0.8554146301141585,0.13837245,-0.052759636,-0.13837245,0.00901739,-43.6
2007-01-11 00:00:00+00,LONG,1908,0.9166666666666666,0.13333334,-0.026804969,-0.13333334,0.0,-24.16
2007-01-12 00:00:00+00,LONG,1908,0.8888888888888888,0.13333334,-0.04101499,-0.13333334,0.0,-25.65
2007-01-17 00:00:00+00,LONG,3466,0.8518518518518519,0.13195784,-0.10262732,-0.13195784,0.013667196,-43.32
2007-01-18 00:00:00+00,LONG,3466,0.8148148148148149,0.15745053,-0.08835815,-0.15745053,-0.021857703,-43.79
2007-01-18 00:00:00+00,LONG,1740,0.6988181989383565,0.13816978,-0.07866256,-0.13816978,-0.02382475,-61.18
2007-01-30 00:00:00+00,LONG,3703,0.6129032258064516,0.1329009,-0.061882015,-0.1329009,0.03697218,-47.56
2007-02-02 00:00:00+00,LONG,1790,0.17628045260865413,0.15818922,-0.089139864,-0.15818922,0.014052716,90.51
2007-03-05 00:00:00+00,LONG,2932,0.9368385782270046,0.14884189,-0.0048733214,-0.14884189,0.007728068,12.92
2007-03-05 00:00:00+00,LONG,3182,0.2267721336192574,0.14144084,-0.007900452,-0.14144084,-0.02956211,-49.87
2007-03-05 00:00:00+00,LONG,3255,0.0,0.14073792,-0.03133914,-0.14073792,0.0032944782,42.07
2007-03-06 00:00:00+00,LONG,135,0.0,0.13213322,-0.057605222,-0.13213322,0.0072133867,-9.01
2007-03-07 00:00:00+00,LONG,135,0.0,0.17325541,-0.07895276,-0.17325541,-0.010384564,-8.89
2007-03-07 00:00:00+00,LONG,3255,0.0,0.14230415,-0.04095103,-0.14230415,-0.03249633,41.37
2007-03-08 00:00:00+00,LONG,3255,0.0,0.13311148,-0.052311726,-0.13311148,0.009024774,43.97
2007-03-09 00:00:00+00,LONG,4171,0.13711417325638142,0.16246001,-0.09035475,-0.16246001,-0.03034267,-51.57
2007-03-12 00:00:00+00,LONG,4171,0.15992377887606202,0.16955702,-0.07780374,-0.16955702,-0.019949472,-52.88
2007-03-16 00:00:00+00,LONG,505,0.8837209302325582,0.13745296,-0.06835248,-0.13745296,-0.012244949,-49.89
2007-03-19 00:00:00+00,LONG,2801,0.20630305660604387,0.1583689,-0.08551488,-0.1583689,0.0074707507,111.49
2007-03-22 00:00:00+00,LONG,4137,0.85,0.13878676,-0.12278594,-0.13878676,-0.029600818,-41.3
2007-03-22 00:00:00+00,LONG,1939,0.75,0.1713241,-0.15330294,-0.1713241,-0.023282256,5.74
2007-03-23 00:00:00+00,LONG,1939,0.7083333333333334,0.16884068,-0.12458852,-0.16884068,-0.009237596,4.73
2007-03-26 00:00:00+00,LONG,1939,0.6666666666666667,0.17503908,-0.09155198,-0.17503908,-0.0044353,2.72
2007-03-27 00:00:00+00,LONG,1939,0.625,0.16936219,-0.0770598,-0.16936219,0.0051957667,2.99
