time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_21_50_df007,accel_volume_5_df025,dist_lower_bb_20_2.0_df055
2007-11-27 00:00:00+00,LONG,2106,0.0,-0.059247572,0.6627211,0.02084005
2007-11-27 00:00:00+00,LONG,345,0.31969354678274087,-0.029167041,0.28917697,-0.007517962
2007-12-17 00:00:00+00,LONG,88,1.0,-0.054899503,0.622293,0.003259257
2007-12-19 00:00:00+00,LONG,1444,0.0,-0.022769062,0.39064366,-0.009169353
2007-12-20 00:00:00+00,LONG,1610,0.0,-0.06966161,0.6025174,0.0013241933
2008-01-04 00:00:00+00,LONG,3629,0.717580317784072,-0.049114984,0.76336443,0.012108388
2008-01-08 00:00:00+00,LONG,1838,1.0,-0.04485595,0.074139886,-0.007055233
2008-01-09 00:00:00+00,LONG,2106,1.0,-0.059425008,0.7213569,0.014583707
2008-01-09 00:00:00+00,LONG,2006,1.0,-0.076485306,0.5150519,0.0020165648
2008-01-22 00:00:00+00,LONG,4122,1.0,-0.037266895,0.29288158,0.009886547
2008-01-22 00:00:00+00,LONG,3287,1.0,-0.03732302,0.23477447,-0.004534866
2008-01-22 00:00:00+00,LONG,3357,0.0,-0.047306538,0.63399875,0.0028344363
2008-01-22 00:00:00+00,LONG,3693,1.0,-0.067308836,0.71586394,0.0073813265
2008-01-23 00:00:00+00,LONG,1585,0.9642857142857143,-0.02225831,0.14840978,-0.003737328
2008-01-23 00:00:00+00,LONG,3905,0.6211050071659114,-0.041773092,0.8792787,-0.006775566
2008-02-05 00:00:00+00,LONG,3179,0.0,-0.06858874,0.5133957,-0.0050596492
2008-02-05 00:00:00+00,LONG,3744,0.0,-0.08636269,0.010761843,-0.009296378
2008-02-06 00:00:00+00,LONG,3179,0.0,-0.06996575,0.31148794,-0.008388861
