time,side,ticker_id,mv_dn_composite_labels,velocity_price_vs_etf_diff_21_df050,price_roc_5_df020,dist_lower_bb_20_2.5_df055,price_drift_21_df005
2008-02-28 00:00:00+00,SHORT,85,0.0,0.022757575,0.060027286,-0.22693574,0.029821074
2008-02-28 00:00:00+00,SHORT,3531,0.8888888888888888,0.004535508,0.048518676,-0.20705734,0.011599006
2008-02-28 00:00:00+00,SHORT,3683,0.9411764705882353,0.10333718,0.06023606,-0.24069898,0.110400684
2008-02-29 00:00:00+00,SHORT,960,0.0,0.033011574,0.057295647,-0.23180676,0.024932116
2008-02-29 00:00:00+00,SHORT,3838,0.36727119570983136,0.075669624,0.042930473,-0.22990301,0.06759016
2008-03-03 00:00:00+00,SHORT,3683,0.8235294117647058,0.11976873,0.034235667,-0.23765658,0.09159664
2008-03-04 00:00:00+00,SHORT,1114,0.0,0.05045281,0.055681817,-0.20514925,0.0032397409
2008-03-11 00:00:00+00,SHORT,1090,0.0,0.014823437,0.04218182,-0.2258519,0.011291461
2008-03-18 00:00:00+00,SHORT,694,0.0,0.041039716,0.041666668,-0.21603107,0.029866118
2008-03-18 00:00:00+00,SHORT,3773,0.0,0.032860346,0.04950495,-0.20391488,0.021686748
2008-03-26 00:00:00+00,SHORT,444,0.24357700169483704,0.030073546,0.04002463,-0.20389286,0.0
2008-03-26 00:00:00+00,SHORT,3046,0.0,0.08146507,0.034059096,-0.2128711,0.051391523
2008-03-26 00:00:00+00,SHORT,3818,0.7142857142857143,0.07997274,0.046470735,-0.24165075,0.049899194
