time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,dist_lower_bb_50_2.0_df055
2006-05-01 00:00:00+00,LONG,559,0.0,0.0,0.117447965
2006-05-02 00:00:00+00,LONG,559,0.0,0.0,0.08555932
2006-05-02 00:00:00+00,LONG,3773,0.0,0.0,0.01509984
2006-05-03 00:00:00+00,LONG,559,0.0,0.0,0.07701466
2006-05-04 00:00:00+00,LONG,559,0.0,0.0,0.059127994
2006-05-04 00:00:00+00,LONG,3773,0.0,0.0,0.023740757
2006-05-05 00:00:00+00,LONG,237,0.0,0.0,0.03202071
2006-05-05 00:00:00+00,LONG,559,0.0,0.0,0.019460566
2006-05-08 00:00:00+00,LONG,1867,1.0,0.0,0.024932578
2006-05-10 00:00:00+00,LONG,791,1.0,0.0,0.022531394
2006-05-18 00:00:00+00,LONG,4059,1.0,0.0,0.021963634
2006-05-22 00:00:00+00,LONG,3343,1.0,0.0,0.017166752
2006-05-24 00:00:00+00,LONG,397,1.0,0.0,0.042951245
2006-05-24 00:00:00+00,LONG,562,0.8612179607043543,0.0,0.015600534
2006-05-24 00:00:00+00,LONG,3199,0.0,0.0,0.015474046
2006-05-24 00:00:00+00,LONG,1306,0.6262626957006211,0.0,0.05067926
