time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,vola_roc_1_5_df040,normalized_3m_df004,price_to_sales_minmax_universe_df071
2007-04-26 00:00:00+00,SHORT,69,0.9444444444444444,0.3884838,0.12083898,0.6296296,0.0093
2007-04-27 00:00:00+00,SHORT,988,1.0,0.35082173,0.5396088,0.30357143,0.011
2007-05-02 00:00:00+00,SHORT,2018,0.5947575370368849,0.43625295,0.626282,0.42857143,0.0096
2007-10-17 00:00:00+00,SHORT,1360,0.0,0.4436902,0.10039582,0.8604651,0.0065
2007-10-18 00:00:00+00,SHORT,1360,0.0,0.43693957,0.5584785,0.88372093,0.0063
2007-11-19 00:00:00+00,SHORT,167,0.0,0.42276257,1.4858792,0.069767445,0.0053
2007-12-10 00:00:00+00,SHORT,1176,0.5928411218507047,0.3542586,1.4314426,0.44186047,0.014
2007-12-27 00:00:00+00,SHORT,1904,0.9,0.34732714,-0.080083854,0.47126436,0.0055
2008-01-10 00:00:00+00,SHORT,1919,0.8888888888888888,0.36163658,-0.18313043,0.07317073,0.0054
2008-01-15 00:00:00+00,SHORT,557,0.8571428571428572,0.38654348,0.024219252,0.73170733,0.0137
2008-01-23 00:00:00+00,SHORT,370,0.0,0.41266564,1.9295081,0.13333334,0.0051
2008-02-01 00:00:00+00,SHORT,540,1.0,0.39490098,-0.08649081,0.5697674,0.006
2008-02-01 00:00:00+00,SHORT,1280,0.0,0.38109705,0.4704842,0.7368421,0.0061
2008-02-01 00:00:00+00,SHORT,3381,0.8888888888888888,0.4329278,0.03881397,0.53488374,0.0055
2008-02-01 00:00:00+00,SHORT,1404,0.0,0.437754,-0.070132725,0.8888889,0.0048
2008-02-04 00:00:00+00,SHORT,4169,1.0,0.3504119,0.34165585,0.5714286,0.005
2008-02-04 00:00:00+00,SHORT,641,0.3836702216258233,0.35865903,0.14092699,0.64285713,0.0068
2008-02-04 00:00:00+00,SHORT,710,0.4280454339555007,0.3700151,0.4295127,0.5,0.0067
2008-02-04 00:00:00+00,SHORT,3470,1.0,0.42834425,0.06592787,0.21428572,0.0061
2008-02-05 00:00:00+00,SHORT,4097,0.0,0.347285,0.25178033,0.8433735,0.0053
2008-02-05 00:00:00+00,SHORT,2050,0.45411406575270424,0.4119697,-0.14242376,0.43209878,0.0057
2008-02-05 00:00:00+00,SHORT,475,0.36836908564477006,0.39878675,0.07639787,0.084337346,0.0057
2008-02-05 00:00:00+00,SHORT,2961,0.0,0.36818093,0.08705719,0.45454547,0.005
2008-02-05 00:00:00+00,SHORT,3046,0.24935416140133787,0.38515446,-0.0669172,0.7710843,0.0055
2008-02-05 00:00:00+00,SHORT,1235,0.8333333333333334,0.42349842,1.697936,0.13636364,0.0048
2008-02-05 00:00:00+00,SHORT,3704,0.22753038511565105,0.35747102,0.6060533,0.72289157,0.0054
2008-02-06 00:00:00+00,SHORT,4164,0.22287799163671124,0.42283645,1.2806755,0.375,0.0052
2008-02-06 00:00:00+00,SHORT,2710,0.16012999404368397,0.3813879,0.397976,0.9423077,0.0048
2008-02-13 00:00:00+00,SHORT,1523,0.16590908774059224,0.36013198,2.1260486,0.70689654,0.012
2008-02-14 00:00:00+00,SHORT,557,1.0,0.43937168,1.2194133,0.9,0.0122
2008-02-14 00:00:00+00,SHORT,1523,0.09274212082682959,0.35090777,1.4273542,0.5423729,0.012
2008-02-25 00:00:00+00,SHORT,3538,0.0,0.3901904,1.5389878,0.9285714,0.0052
2008-02-26 00:00:00+00,SHORT,2262,1.0,0.34678426,1.4235721,0.76744187,0.0049
2008-02-26 00:00:00+00,SHORT,370,0.0,0.4305835,1.026269,0.42857143,0.0067
2008-02-26 00:00:00+00,SHORT,1299,0.0,0.45266733,1.5320497,0.14285715,0.0055
2008-02-26 00:00:00+00,SHORT,4049,0.0,0.43516934,0.043586068,0.5,0.0057
2008-02-27 00:00:00+00,SHORT,2066,1.0,0.3582402,1.0627608,0.29411766,0.0068
2008-02-27 00:00:00+00,SHORT,2106,1.0,0.4220304,0.9372917,0.19565217,0.0068
