time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_8_50_df007,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-01-26 00:00:00+00,LONG,3519,0.27652828806163443,-0.022359433,-0.009653904,0.0
2005-01-26 00:00:00+00,LONG,3802,0.37967198282306963,-0.02746475,-0.015518778,0.0
2005-01-26 00:00:00+00,LONG,3815,0.7804878048780488,-0.04250069,-0.02862556,0.0
2005-01-26 00:00:00+00,LONG,3855,0.33776502167662065,-0.027023116,-0.012518236,0.0
2005-01-26 00:00:00+00,LONG,1966,0.0,-0.067943804,-0.027874203,0.0
2005-01-26 00:00:00+00,LONG,4049,0.4665714038483923,-0.061568577,-0.014939296,0.0
2005-01-27 00:00:00+00,LONG,1,0.0,-0.052819304,-0.020534476,0.0
2005-01-27 00:00:00+00,LONG,2050,0.0,-0.0291746,-0.022192331,0.0
2005-01-27 00:00:00+00,LONG,270,0.20218235284076563,-0.04859629,-0.022273684,0.0
2005-01-27 00:00:00+00,LONG,323,0.9444444444444444,-0.07567416,-0.009426679,0.0
2005-01-27 00:00:00+00,LONG,2430,0.4145570326663146,-0.023431432,-0.006883122,0.0
2005-01-27 00:00:00+00,LONG,2567,0.0,-0.07219988,-0.021786848,0.0
2005-01-27 00:00:00+00,LONG,2681,0.4110786387851169,-0.058082405,-0.025725137,0.0
2005-01-27 00:00:00+00,LONG,684,0.0,-0.029999504,0.010219032,0.0
2005-01-27 00:00:00+00,LONG,2751,0.0,-0.015459336,-0.021931192,0.0
2005-01-27 00:00:00+00,LONG,2778,0.4104906046375885,-0.043811526,-0.011253731,0.0
2005-01-27 00:00:00+00,LONG,730,0.40581704958087866,-0.04211451,-0.022741588,0.0
2005-01-27 00:00:00+00,LONG,1051,0.0,-0.015915941,-0.013373972,0.0
2005-01-27 00:00:00+00,LONG,3109,0.8076923076923077,-0.020838222,-0.01875205,0.0
2005-01-27 00:00:00+00,LONG,1076,0.6984939920915507,-0.022083389,-0.013585393,0.0
2005-01-27 00:00:00+00,LONG,3203,0.4047751700153195,-0.014360432,-0.024713293,0.0
2005-01-27 00:00:00+00,LONG,3330,0.08820504258428784,-0.016273847,-0.01634696,0.0
2005-01-27 00:00:00+00,LONG,1300,0.3963991986410912,-0.02781222,-0.005734364,0.0
2005-01-27 00:00:00+00,LONG,1330,0.0,-0.02542558,-0.032231748,0.0
2005-01-27 00:00:00+00,LONG,1360,0.7924528301886793,-0.058810797,-0.011498522,0.0
2005-01-27 00:00:00+00,LONG,1410,0.0,-0.033302244,-0.030548198,0.0
2005-01-27 00:00:00+00,LONG,3470,0.4468800984768633,-0.04623655,0.012815905,0.0
2005-01-27 00:00:00+00,LONG,3519,0.2668745781424456,-0.02401249,-0.008068285,0.0
2005-01-27 00:00:00+00,LONG,1514,1.0,-0.0458002,0.0100427605,0.0
